countyFIPS,County Name,State,cases,cases_per_thousand,population,pop_per_thousand,population_log,cases_per_pop
8075,Logan County,CO,889,0.889,22409,22.409,4.35042247660771,3.9672
12011,Broward County,FL,77433,77.433,1952778,1952.778,6.29065287367438,3.9653
36119,Westchester County,NY,38300,38.3,967506,967.506,5.98565366698171,3.9586
28023,Clarke County,MS,615,0.615,15541,15.541,4.1914789604436,3.9573
12043,Glades County,FL,545,0.545,13811,13.811,4.14022512526645,3.9461
22083,Richland Parish,LA,794,0.794,20122,20.122,4.30367114466402,3.9459
22101,St. Mary Parish,LA,1947,1.947,49348,49.348,4.69326955606209,3.9454
12065,Jefferson County,FL,562,0.562,14246,14.246,4.15369294000855,3.9450
1041,Crenshaw County,AL,543,0.543,13772,13.772,4.13899701403264,3.9428
47045,Dyer County,TN,1465,1.465,37159,37.159,4.57006401801467,3.9425
1101,Montgomery County,AL,8918,8.918,226486,226.486,5.35504136171017,3.9376
22099,St. Martin Parish,LA,2102,2.102,53431,53.431,4.72779330239585,3.9340
41059,Umatilla County,OR,3052,3.052,77950,77.95,4.89181611952486,3.9153
48303,Lubbock County,TX,12139,12.139,310569,310.569,5.49215810367573,3.9086
51159,Richmond County,VA,352,0.352,9023,9.023,3.95535095736766,3.9011
19087,Henry County,IA,778,0.778,19954,19.954,4.3000299678823,3.8990
22009,Avoyelles Parish,LA,1564,1.564,40144,40.144,4.60362064397053,3.8960
12033,Escambia County,FL,12393,12.393,318316,318.316,5.50285846877203,3.8933
38027,Eddy County,ND,89,0.089,2287,2.287,3.35926616460675,3.8916
48057,Calhoun County,TX,828,0.828,21290,21.29,4.32817566143832,3.8891
22019,Calcasieu Parish,LA,7907,7.907,203436,203.436,5.30842780806519,3.8867
47037,Davidson County,TN,26940,26.94,694144,694.144,5.84144957408332,3.8810
1091,Marengo County,AL,732,0.732,18863,18.863,4.27561076474457,3.8806
37123,Montgomery County,NC,1053,1.053,27173,27.173,4.43413758878673,3.8752
45019,Charleston County,SC,15899,15.899,411406,411.406,5.61427062121357,3.8646
19179,Wapello County,IA,1350,1.35,34969,34.969,4.543683213073,3.8606
13273,Terrell County,GA,329,0.329,8531,8.531,3.93099994195615,3.8565
12059,Holmes County,FL,756,0.756,19617,19.617,4.29263259208243,3.8538
1039,Covington County,AL,1424,1.424,37049,37.049,4.56877649030879,3.8436
22093,St. James Parish,LA,810,0.81,21096,21.096,4.32420011678538,3.8396
16075,Payette County,ID,919,0.919,23951,23.951,4.37932365075332,3.8370
13287,Turner County,GA,306,0.306,7985,7.985,3.9022749204745,3.8322
20067,Grant County,KS,274,0.274,7150,7.15,3.85430604180108,3.8322
13305,Wayne County,GA,1145,1.145,29927,29.927,4.47606318363783,3.8260
34031,Passaic County,NJ,19135,19.135,501826,501.826,5.70055315870041,3.8131
13283,Treutlen County,GA,263,0.263,6901,6.901,3.838912027406,3.8110
13319,Wilkinson County,GA,341,0.341,8954,8.954,3.95201709004743,3.8084
47023,Chester County,TN,656,0.656,17297,17.297,4.23797078541634,3.7926
22057,Lafourche Parish,LA,3693,3.693,97614,97.614,4.98951210953876,3.7833
47159,Smith County,TN,762,0.762,20157,20.157,4.3044258958094,3.7803
1063,Greene County,AL,306,0.306,8111,8.111,3.9090744014009,3.7727
55009,Brown County,WI,9980,9.98,264542,264.542,5.42249463259123,3.7726
48185,Grimes County,TX,1088,1.088,28880,28.88,4.4605971888976,3.7673
28007,Attala County,MS,684,0.684,18174,18.174,4.2594505237165,3.7636
13137,Habersham County,GA,1700,1.7,45328,45.328,4.65636655717636,3.7504
36005,Bronx County,NY,53169,53.169,1418207,1418.207,6.15173962463877,3.7490
28057,Itawamba County,MS,876,0.876,23390,23.39,4.36903022180915,3.7452
47183,Weakley County,TN,1248,1.248,33328,33.328,4.52280925260367,3.7446
13205,Mitchell County,GA,818,0.818,21863,21.863,4.33970975477983,3.7415
1127,Walker County,AL,2376,2.376,63521,63.521,4.80291732649497,3.7405
28067,Jones County,MS,2546,2.546,68098,68.098,4.83313435711515,3.7387
22013,Bienville Parish,LA,495,0.495,13241,13.241,4.12192078556304,3.7384
22107,Tensas Parish,LA,162,0.162,4334,4.334,3.6368889069838,3.7379
12093,Okeechobee County,FL,1576,1.576,42168,42.168,4.6249830032069,3.7374
38085,Sioux County,ND,158,0.158,4230,4.23,3.62634036737504,3.7352
5061,Howard County,AR,493,0.493,13202,13.202,4.12063972841557,3.7343
38047,Logan County,ND,69,0.069,1850,1.85,3.26717172840301,3.7297
28101,Newton County,MS,783,0.783,21018,21.018,4.32259138770134,3.7254
31173,Thurston County,NE,269,0.269,7224,7.224,3.85877773730545,3.7237
22095,St. John the Baptist Parish,LA,1595,1.595,42837,42.837,4.63181904831605,3.7234
45079,Richland County,SC,15475,15.475,415759,415.759,5.61884165923378,3.7221
28013,Calhoun County,MS,534,0.534,14361,14.361,4.15718468220161,3.7184
28161,Yalobusha County,MS,449,0.449,12108,12.108,4.08307241228453,3.7083
19187,Webster County,IA,1330,1.33,35904,35.904,4.55514283524005,3.7043
22055,Lafayette Parish,LA,9050,9.05,244390,244.39,5.38808343138365,3.7031
30085,Roosevelt County,MT,407,0.407,11004,11.004,4.04155058171765,3.6987
1109,Pike County,AL,1224,1.224,33114,33.114,4.52001164444891,3.6963
13033,Burke County,GA,826,0.826,22383,22.383,4.34991829470926,3.6903
28141,Tishomingo County,MS,715,0.715,19383,19.383,4.28742099575983,3.6888
28105,Oktibbeha County,MS,1828,1.828,49587,49.587,4.69536783438797,3.6865
48215,Hidalgo County,TX,31984,31.984,868707,868.707,5.93887332105152,3.6818
48249,Jim Wells County,TX,1490,1.49,40482,40.482,4.60726196053894,3.6806
22085,Sabine Parish,LA,879,0.879,23884,23.884,4.37810706250974,3.6803
1081,Lee County,AL,6043,6.043,164542,164.542,5.21627677183054,3.6726
16087,Washington County,ID,374,0.374,10194,10.194,4.00834462925269,3.6688
51001,Accomack County,VA,1182,1.182,32316,32.316,4.50941759945914,3.6576
47109,McNairy County,TN,938,0.938,25694,25.694,4.40983171978601,3.6507
22017,Caddo Parish,LA,8765,8.765,240204,240.204,5.38058023522119,3.6490
12073,Leon County,FL,10710,10.71,293582,293.582,5.46772942474432,3.6480
28111,Perry County,MS,436,0.436,11973,11.973,4.07820298250369,3.6415
45075,Orangeburg County,SC,3137,3.137,86175,86.175,4.93538129207999,3.6403
1005,Barbour County,AL,898,0.898,24686,24.686,4.39245072465603,3.6377
13031,Bulloch County,GA,2895,2.895,79608,79.608,4.90095671323109,3.6366
13105,Elbert County,GA,698,0.698,19194,19.194,4.28316549046775,3.6366
48115,Dawson County,TX,462,0.462,12728,12.728,4.10476016663852,3.6298
1021,Chilton County,AL,1610,1.61,44428,44.428,4.64765676319554,3.6238
16027,Canyon County,ID,8328,8.328,229849,229.849,5.36144261861308,3.6232
19169,Story County,IA,3512,3.512,97117,97.117,4.987295258332,3.6163
40035,Craig County,OK,511,0.511,14142,14.142,4.15051083290797,3.6134
37165,Scotland County,NC,1257,1.257,34823,34.823,4.54186618284456,3.6097
47053,Gibson County,TN,1773,1.773,49133,49.133,4.69137328242647,3.6086
28137,Tate County,MS,1020,1.02,28321,28.321,4.45210858400412,3.6016
37163,Sampson County,NC,2287,2.287,63531,63.531,4.80298569133501,3.5998
28095,Monroe County,MS,1268,1.268,35252,35.252,4.54718376145008,3.5970
13095,Dougherty County,GA,3163,3.163,87956,87.956,4.9442654706043,3.5961
28163,Yazoo County,MS,1067,1.067,29690,29.69,4.47261019759604,3.5938
28091,Marion County,MS,883,0.883,24573,24.573,4.39045818065229,3.5934
20051,Ellis County,KS,1026,1.026,28553,28.553,4.45565174533135,3.5933
45041,Florence County,SC,4968,4.968,138293,138.293,5.14080019790894,3.5924
46099,Minnehaha County,SD,6931,6.931,193134,193.134,5.28585873526348,3.5887
28061,Jasper County,MS,587,0.587,16383,16.383,4.21439343125521,3.5830
19061,Dubuque County,IA,3486,3.486,97311,97.311,4.98816193553333,3.5823
22117,Washington Parish,LA,1654,1.654,46194,46.194,4.66458557001258,3.5806
37155,Robeson County,NC,4677,4.677,130625,130.625,5.11602630345513,3.5805
