countyFIPS,cases,cases_per_thousand,population,pop_thousand,cases_per_pop
13227,621,0.621,32591,32.591,1.9054
13229,614,0.614,19465,19.465,3.1544
13231,343,0.343,18962,18.962,1.8089
13233,1498,1.498,42613,42.613,3.5154
13235,314,0.314,11137,11.137,2.8194
13237,699,0.699,22119,22.119,3.1602
13239,34,0.034,2299,2.299,1.4789
13241,366,0.366,17137,17.137,2.1357
13243,331,0.331,6778,6.778,4.8834
13245,7180,7.18,202518,202.518,3.5454
13247,1872,1.872,90896,90.896,2.0595
13249,105,0.105,5257,5.257,1.9973
13251,420,0.42,13966,13.966,3.0073
13253,366,0.366,8090,8.09,4.5241
13255,1347,1.347,66703,66.703,2.0194
13257,1094,1.094,25925,25.925,4.2199
13259,521,0.521,6621,6.621,7.8689
13261,935,0.935,29524,29.524,3.1669
13263,166,0.166,6195,6.195,2.6796
13265,22,0.022,1537,1.537,1.4314
13267,844,0.844,25286,25.286,3.3378
13269,214,0.214,8020,8.02,2.6683
13271,393,0.393,15860,15.86,2.4779
13273,329,0.329,8531,8.531,3.8565
13275,1500,1.5,44451,44.451,3.3745
13277,1805,1.805,40644,40.644,4.4410
13279,1343,1.343,26830,26.83,5.0056
13281,342,0.342,12037,12.037,2.8412
13283,263,0.263,6901,6.901,3.8110
13285,2833,2.833,69922,69.922,4.0517
13287,306,0.306,7985,7.985,3.8322
13289,199,0.199,8120,8.12,2.4507
13291,779,0.779,24511,24.511,3.1782
13293,804,0.804,26320,26.32,3.0547
13295,1591,1.591,69761,69.761,2.2806
13297,1847,1.847,94593,94.593,1.9526
13299,1512,1.512,35734,35.734,4.2313
13301,153,0.153,5254,5.254,2.9121
13303,685,0.685,20374,20.374,3.3621
13305,1145,1.145,29927,29.927,3.8260
13307,43,0.043,2607,2.607,1.6494
13309,340,0.34,7855,7.855,4.3285
13311,873,0.873,30798,30.798,2.8346
13313,4651,4.651,104628,104.628,4.4453
13315,248,0.248,8635,8.635,2.8720
13317,267,0.267,9777,9.777,2.7309
13319,341,0.341,8954,8.954,3.8084
13321,536,0.536,20247,20.247,2.6473
15001,736,0.736,201513,201.513,0.3652
15003,11296,11.296,974563,974.563,1.1591
15005,0,0,86,0.086,0.0000
15007,59,0.059,72293,72.293,0.0816
15009,391,0.391,167417,167.417,0.2335
16001,13256,13.256,481587,481.587,2.7526
16003,28,0.028,4294,4.294,0.6521
16005,1105,1.105,87808,87.808,1.2584
16007,46,0.046,6125,6.125,0.7510
16009,151,0.151,9298,9.298,1.6240
16011,977,0.977,46811,46.811,2.0871
16013,687,0.687,23021,23.021,2.9842
16015,72,0.072,7831,7.831,0.9194
16017,355,0.355,45739,45.739,0.7761
16019,2882,2.882,119062,119.062,2.4206
16021,59,0.059,12245,12.245,0.4818
16023,33,0.033,2597,2.597,1.2707
16025,37,0.037,1106,1.106,3.3454
16027,8328,8.328,229849,229.849,3.6232
16029,131,0.131,7155,7.155,1.8309
16031,772,0.772,24030,24.03,3.2127
16033,35,0.035,845,0.845,4.1420
16035,53,0.053,8756,8.756,0.6053
16037,71,0.071,4315,4.315,1.6454
16039,370,0.37,27511,27.511,1.3449
16041,129,0.129,13876,13.876,0.9297
16043,217,0.217,13099,13.099,1.6566
16045,345,0.345,18112,18.112,1.9048
16047,312,0.312,15179,15.179,2.0555
16049,213,0.213,16667,16.667,1.2780
16051,618,0.618,29871,29.871,2.0689
16053,791,0.791,24412,24.412,3.2402
16055,2773,2.773,165697,165.697,1.6735
16057,547,0.547,40108,40.108,1.3638
16059,109,0.109,8027,8.027,1.3579
16061,35,0.035,3838,3.838,0.9119
16063,94,0.094,5366,5.366,1.7518
16065,892,0.892,39907,39.907,2.2352
16067,733,0.733,21039,21.039,3.4840
16069,465,0.465,40408,40.408,1.1508
16071,26,0.026,4531,4.531,0.5738
16073,335,0.335,11823,11.823,2.8335
16075,919,0.919,23951,23.951,3.8370
16077,254,0.254,7681,7.681,3.3069
16079,216,0.216,12882,12.882,1.6768
16081,192,0.192,12142,12.142,1.5813
16083,2424,2.424,86878,86.878,2.7901
16085,97,0.097,11392,11.392,0.8515
16087,374,0.374,10194,10.194,3.6688
17001,1209,1.209,65435,65.435,1.8476
17003,87,0.087,5761,5.761,1.5102
17005,349,0.349,16426,16.426,2.1247
17007,1160,1.16,53544,53.544,2.1664
17009,70,0.07,6578,6.578,1.0642
17011,685,0.685,32628,32.628,2.0994
17013,64,0.064,4739,4.739,1.3505
17015,242,0.242,14305,14.305,1.6917
17017,409,0.409,12147,12.147,3.3671
17019,4879,4.879,209689,209.689,2.3268
17021,595,0.595,32304,32.304,1.8419
17023,184,0.184,15441,15.441,1.1916
17025,173,0.173,13184,13.184,1.3122
17027,1239,1.239,37562,37.562,3.2985
17029,1522,1.522,50621,50.621,3.0067
17031,146152,146.152,5150233,5150.233,2.8378
17033,472,0.472,18667,18.667,2.5285
17035,221,0.221,10766,10.766,2.0528
17037,1649,1.649,104897,104.897,1.5720
17039,133,0.133,15638,15.638,0.8505
17041,326,0.326,19465,19.465,1.6748
17043,17873,17.873,922921,922.921,1.9366
17045,118,0.118,17161,17.161,0.6876
17047,70,0.07,6395,6.395,1.0946
17049,896,0.896,34008,34.008,2.6347
17051,449,0.449,21336,21.336,2.1044
17053,109,0.109,12961,12.961,0.8410
17055,556,0.556,38469,38.469,1.4453
17057,197,0.197,34340,34.34,0.5737
17059,76,0.076,4828,4.828,1.5742
17061,238,0.238,12969,12.969,1.8351
17063,698,0.698,51054,51.054,1.3672
17065,74,0.074,8116,8.116,0.9118
17067,231,0.231,17708,17.708,1.3045
17069,40,0.04,3821,3.821,1.0468
17071,72,0.072,6646,6.646,1.0834
17073,684,0.684,48913,48.913,1.3984
17075,368,0.368,27114,27.114,1.3572
17077,1281,1.281,56750,56.75,2.2573
17079,213,0.213,9610,9.61,2.2164
17081,650,0.65,37684,37.684,1.7249
17083,400,0.4,21773,21.773,1.8371
17085,282,0.282,21235,21.235,1.3280
17087,168,0.168,12417,12.417,1.3530
17089,13344,13.344,532403,532.403,2.5064
17091,2788,2.788,109862,109.862,2.5377
17093,2060,2.06,128990,128.99,1.5970
17095,718,0.718,49699,49.699,1.4447
17097,17246,17.246,696535,696.535,2.4760
17099,1768,1.768,108669,108.669,1.6270
