FIPSCode,State,A3a,participated,percentage_participated
2122700000,KY,80493,49082,0.61
2122900000,KY,8675,5728,0.66
2123100000,KY,14738,8094,0.55
2123300000,KY,9681,5900,0.61
2123500000,KY,26828,13908,0.52
2123700000,KY,5603,2682,0.48
2123900000,KY,20526,13797,0.67
2200100000,LA,39146,27653,0.71
2200300000,LA,13284,9324,0.70
2200500000,LA,73373,55182,0.75
2200700000,LA,14977,11033,0.74
2200900000,LA,24169,16838,0.70
2201100000,LA,21712,15144,0.70
2201300000,LA,9239,7104,0.77
2201500000,LA,67837,50240,0.74
2201700000,LA,158254,106913,0.68
2201900000,LA,124574,84476,0.68
2202100000,LA,6537,4746,0.73
2202300000,LA,4982,3746,0.75
2202500000,LA,6794,4906,0.72
2202700000,LA,8956,6489,0.72
2202900000,LA,12675,8998,0.71
2203100000,LA,18531,13735,0.74
2203300000,LA,278263,198712,0.71
2203500000,LA,5114,3001,0.59
2203700000,LA,14075,10215,0.73
2203900000,LA,21521,15067,0.70
2204100000,LA,13520,9251,0.68
2204300000,LA,12533,8885,0.71
2204500000,LA,46922,32782,0.70
2204700000,LA,20941,16310,0.78
2204900000,LA,9901,7543,0.76
2205100000,LA,264089,183627,0.70
2205300000,LA,20382,14456,0.71
2205500000,LA,147735,106509,0.72
2205700000,LA,56594,42060,0.74
2205900000,LA,8817,6622,0.75
2206100000,LA,25481,18836,0.74
2206300000,LA,80170,58140,0.73
2206500000,LA,7566,4801,0.63
2206700000,LA,18212,12005,0.66
2206900000,LA,24450,16880,0.69
2207100000,LA,248437,167497,0.67
2207300000,LA,100897,68619,0.68
2207500000,LA,14077,10688,0.76
2207700000,LA,15312,11960,0.78
2207900000,LA,83168,57458,0.69
2208100000,LA,6028,4485,0.74
2208300000,LA,13911,9707,0.70
2208500000,LA,14504,9935,0.68
2208700000,LA,25231,15926,0.63
2208900000,LA,33980,26409,0.78
2209100000,LA,8349,6055,0.73
2209300000,LA,15421,12234,0.79
2209500000,LA,29100,21011,0.72
2209700000,LA,58701,40486,0.69
2209900000,LA,35819,26004,0.73
2210100000,LA,32310,23078,0.71
2210300000,LA,164937,125449,0.76
2210500000,LA,76305,52889,0.69
2210700000,LA,3975,2610,0.66
2210900000,LA,62111,44293,0.71
2211100000,LA,15531,10980,0.71
2211300000,LA,36896,25976,0.70
2211500000,LA,24354,16783,0.69
2211700000,LA,27133,18788,0.69
2211900000,LA,24323,18306,0.75
2212100000,LA,16294,12813,0.79
2212300000,LA,7111,4814,0.68
2212500000,LA,7321,5888,0.80
2212700000,LA,9040,6432,0.71
2500103600,MA,30114,26380,0.88
2500107175,MA,12266,11035,0.90
2500107980,MA,7329,6815,0.93
2500112995,MA,5476,4643,0.85
2500116775,MA,11417,9432,0.83
2500119295,MA,4202,3702,0.88
2500123105,MA,23145,20274,0.88
2500129020,MA,10252,8572,0.84
2500139100,MA,9684,8984,0.93
2500151440,MA,5090,4595,0.90
2500155500,MA,2630,2399,0.91
2500159735,MA,14932,12923,0.87
2500170605,MA,1758,1589,0.90
2500174385,MA,2482,2282,0.92
2500182525,MA,18610,14287,0.77
2500300555,MA,5536,4080,0.74
2500300975,MA,362,307,0.85
2500304545,MA,1374,1047,0.76
2500313345,MA,2379,1891,0.79
2500314010,MA,1137,896,0.79
2500316180,MA,4293,3483,0.81
2500321360,MA,1016,845,0.83
2500324120,MA,531,400,0.75
2500326815,MA,4666,3764,0.81
2500328180,MA,451,397,0.88
2500330315,MA,1445,1136,0.79
2500334340,MA,2306,1747,0.76
2500334655,MA,4068,3099,0.76
2500334970,MA,3898,3096,0.79
2500342460,MA,656,554,0.84
2500343300,MA,128,107,0.84
2500344385,MA,198,161,0.81
2500345420,MA,1060,871,0.82
2500346225,MA,7764,5879,0.76
2500351580,MA,1064,924,0.87
2500353050,MA,626,519,0.83
2500353960,MA,23644,20478,0.87
2500356795,MA,1165,1005,0.86
2500359665,MA,603,488,0.81
2500360225,MA,497,401,0.81
2500361065,MA,2362,1942,0.82
2500367595,MA,1639,1305,0.80
2500371095,MA,334,299,0.90
2500373335,MA,414,327,0.79
2500377990,MA,1170,901,0.77
2500379985,MA,4648,3623,0.78
2500380685,MA,666,536,0.80
2500500520,MA,7067,5672,0.80
2500502690,MA,22813,20881,0.92
2500505280,MA,3958,3679,0.93
2500516425,MA,19783,16603,0.84
2500516950,MA,4754,4122,0.87
2500520100,MA,15977,13011,0.81
2500522130,MA,11424,8753,0.77
2500523000,MA,33594,30823,0.92
2500525240,MA,5835,5077,0.87
2500538225,MA,16147,13341,0.83
2500545000,MA,54461,33608,0.62
2500546575,MA,17253,15434,0.89
2500549970,MA,11661,10041,0.86
2500556060,MA,10927,7814,0.72
2500556375,MA,8596,6977,0.81
2500560645,MA,9133,7877,0.86
2500562430,MA,12440,10277,0.83
2500568750,MA,11417,8873,0.78
2500569170,MA,25529,24480,0.96
2500577570,MA,11440,9343,0.82
2500701585,MA,369,287,0.78
2500713800,MA,864,788,0.91
2500721150,MA,3591,2810,0.78
2500726325,MA,117,71,0.61
2500750390,MA,3357,3049,0.91
2500769940,MA,3438,2654,0.77
2500778235,MA,2604,2192,0.84
2500901185,MA,11019,9402,0.85
2500901465,MA,21671,19572,0.90
2500905595,MA,25280,22413,0.89
2500907420,MA,5975,5208,0.87
2500916250,MA,17836,15606,0.87
2500921850,MA,2550,2304,0.90
2500925625,MA,5596,5102,0.91
2500926150,MA,17600,16708,0.95
2500927620,MA,5040,4125,0.82
2500927900,MA,5690,4762,0.84
2500929405,MA,31410,30129,0.96
2500932310,MA,9584,8846,0.92
2500934550,MA,25398,24537,0.97
2500937490,MA,48556,34189,0.70
