time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-07T07:22:58.620Z,42.5828,-111.4384,8.23,3.4,ml,,56,0.117,0.37,us,us2000dvxy,2018-06-30T01:11:32.040Z,"15km ESE of Soda Springs, Idaho",earthquake,1.5,10.4,0.041,78,reviewed,us,us
2018-04-05T13:22:31.020Z,44.7585,-111.1235,11.27,2.52,ml,26,53,0.03957,0.19,uu,uu60276377,2018-06-30T01:11:29.040Z,"10km N of West Yellowstone, Montana",earthquake,0.36,0.42,0.16,5,reviewed,uu,uu
2018-02-25T15:10:21.400Z,44.7535,-110.9953333,6.3,3.04,ml,18,96,0.009669,0.18,uu,uu60272617,2018-05-22T02:00:27.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.43,0.87,0.281,5,reviewed,uu,uu
2018-02-23T05:24:50.740Z,44.749,-110.9938333,9.48,2.73,ml,25,49,0.01356,0.15,uu,uu60272162,2018-05-22T02:00:23.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.3,0.61,0.143,4,reviewed,uu,uu
2018-02-22T22:26:42.570Z,44.7481667,-110.9931667,9.3,2.62,ml,28,70,0.0145,0.15,uu,uu60272047,2018-05-22T02:00:23.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.32,0.61,0.147,5,reviewed,uu,uu
2018-02-22T21:17:22.890Z,44.7505,-110.9951667,10.22,2.65,ml,31,71,0.0118,0.16,uu,uu60272027,2018-05-22T02:00:23.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.31,0.48,0.106,4,reviewed,uu,uu
2018-02-22T08:49:07.830Z,44.7508333,-110.9935,10.03,2.61,ml,22,71,0.01239,0.16,uu,uu60271827,2018-05-22T19:20:12.120Z,"13km NE of West Yellowstone, Montana",earthquake,0.38,0.69,0.127,4,reviewed,uu,uu
2018-02-21T00:38:16.530Z,44.734,-111.0111667,9.08,2.68,ml,21,55,0.02558,0.14,uu,uu60271477,2018-05-22T02:00:20.040Z,"10km NE of West Yellowstone, Montana",earthquake,0.32,0.74,0.082,4,reviewed,uu,uu
2018-02-20T18:45:15.600Z,44.735,-111.008,8.46,2.54,ml,18,54,0.02436,0.13,uu,uu60271427,2018-05-22T02:00:19.040Z,"11km NE of West Yellowstone, Montana",earthquake,0.31,0.79,0.089,4,reviewed,uu,uu
2018-02-19T02:12:59.160Z,44.7401667,-110.9985,7.71,2.52,ml,18,58,0.01992,0.14,uu,uu60270432,2018-05-22T19:07:17.920Z,"12km NE of West Yellowstone, Montana",earthquake,0.31,0.62,0.098,4,reviewed,uu,uu
2018-02-18T17:43:06.530Z,44.7426667,-110.9826667,7.76,2.82,ml,24,86,0.02362,0.15,uu,uu60270117,2018-05-15T06:29:15.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.29,0.49,0.146,4,reviewed,uu,uu
2018-02-18T17:34:17.760Z,44.7501667,-110.9815,10.15,2.76,ml,26,67,0.01982,0.18,uu,uu60270102,2018-05-15T06:29:15.040Z,"13km NE of West Yellowstone, Montana",earthquake,0.35,0.58,0.156,4,reviewed,uu,uu
2018-02-18T15:46:31.780Z,44.7401667,-110.9931667,6.42,2.51,ml,15,73,0.02128,0.12,uu,uu60270047,2018-05-15T06:29:15.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.34,0.81,0.023,2,reviewed,uu,uu
2018-02-18T15:29:16.260Z,44.7446667,-110.9973333,9.83,3.12,ml,28,63,0.01595,0.19,uu,uu60269997,2018-05-15T06:29:15.040Z,"12km NE of West Yellowstone, Montana",earthquake,0.36,0.63,0.096,5,reviewed,uu,uu
